land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
preserveStonyOctagon_5,40.353131,-74.719621,40.356754188405795,-74.72419975457876,40.3495078115942,-74.71504224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_6,40.353131,-74.698588,40.356754188405795,-74.70316675457876,40.3495078115942,-74.69400924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_7,40.343789,-74.740553,40.3474121884058,-74.74513175457876,40.340165811594204,-74.73597424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_8,40.343789,-74.719621,40.3474121884058,-74.72419975457876,40.340165811594204,-74.71504224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserveStonyOctagon_9,40.343789,-74.698588,40.3474121884058,-74.70316675457876,40.340165811594204,-74.69400924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_1,40.394606,-74.779177,40.3982291884058,-74.78375575457876,40.390982811594206,-74.77459824542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_2,40.394606,-74.75798,40.3982291884058,-74.76255875457876,40.390982811594206,-74.75340124542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_3,40.394606,-74.736848,40.3982291884058,-74.74142675457875,40.390982811594206,-74.73226924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_4,40.38491,-74.779177,40.388533188405795,-74.78375575457876,40.3812868115942,-74.77459824542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_5,40.38491,-74.75798,40.388533188405795,-74.76255875457876,40.3812868115942,-74.75340124542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_6,40.38491,-74.736848,40.388533188405795,-74.74142675457875,40.3812868115942,-74.73226924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_7,40.375683,-74.779177,40.3793061884058,-74.78375575457876,40.372059811594205,-74.77459824542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_8,40.375683,-74.75798,40.3793061884058,-74.76255875457876,40.372059811594205,-74.75340124542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeElem_9,40.375683,-74.736848,40.3793061884058,-74.74142675457875,40.372059811594205,-74.73226924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeHS_TimberMS_1,40.33784,-74.825575,40.3414631884058,-74.83015375457876,40.3342168115942,-74.82099624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeHS_TimberMS_2,40.33784,-74.804559,40.3414631884058,-74.80913775457876,40.3342168115942,-74.79998024542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeHS_TimberMS_3,40.33784,-74.783438,40.3414631884058,-74.78801675457876,40.3342168115942,-74.77885924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schHopeHS_TimberMS_4,40.328281,-74.825575,40.331904188405794,-74.83015375457876,40.3246578115942,-74.82099624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
